OCR Text,Ground Text
第,第
一回,一回
灵根育孕源流出心性修持大道生,靈根育孕源流出心性修持大道生
诗曰,詩曰
混沌未分天地乱茫茫渺渺无人见,混沌未分天地亂茫茫渺渺無人見
自从盘古破鸿蒙开辟从兹清浊辨,自從盤古破鴻濛開闢從茲清濁辨
覆载群生仰至仁发明万物皆成善,覆載群生仰至仁發明萬物皆成善
欲知造化会元功须看西游释厄传,欲知造化會元功須看西遊釋厄傳
盖闻天地之数有十二万九千六百岁为一元将一元分为,蓋聞天地之數有十二萬九千六百歲為一元將一元分為
十二会乃子丑寅卯辰已午未申酉戌亥之十二支,十二會乃子丑寅卯辰巳午未申酉戌亥之十二支
也每会该一万八百岁且就一日而论子时得阳气而丑则鸡,也每會該一萬八百歲且就一日而論子時得陽氣而丑則雞
鸣寅不通光而卯则日出辰时食后而已则挨排日午天中而,鳴寅不通光而卯則日出辰時食後而巳則挨排日午天中而
未则西蹉申时晡而日落酉戌黄昏而人定亥譬于大数若到,未則西蹉申時晡而日落酉戌黃昏而人定亥譬於大數若到
戌会之终则天地昏曚而万物否矣再去五千四百岁交亥会之,戌會之終則天地昏曚而萬物否矣再去五千四百歲交亥會之
初则当黑暗而两间四人物俱无矣故曰混沌又五千四百,初則當黑暗而兩間人物俱無矣故曰混沌又五千四百
岁亥会将终贞下起元近子之会而复逐渐开明邵康节,歲亥會將終貞下起元近子之會而復逐漸開明邵康節
曰“冬至子之半天心无改移一阳初动处万物未生时”到,曰冬至子之半天心無改移一陽初動處萬物未生時到
此天始有根再五千四百岁正当子会轻清上腾有日有月,此天始有根再五千四百歲正當子會輕清上騰有日有月
有星有辰日月星辰谓之四象故曰天开于子又经五,有星有辰日月星辰謂之四象故曰天開於子又經五
千四百岁子会将终近丑之会而逐渐坚实易曰“大哉,千四百歲子會將終近丑之會而逐漸堅實易曰大哉
乾元至哉坤元万物资生乃顺承天”至此地始凝结再五,乾元至哉坤元萬物資生乃順承天至此地始凝結再五
千四百岁正当丑会重浊下凝有水有火有山有石有土,千四百歲正當丑會重濁下凝有水有火有山有石有土
水火山石土谓之五形故曰地辟于丑又经五千四百,水火山石土謂之五形故曰地闢於丑又經五千四百
岁丑会终而寅会之初发生万物历曰“天气下降地气上升,歲丑會終而寅會之初發生萬物曆曰天氣下降地氣上升
天地交合群物皆生”至此天清地爽阴阳交合再五千四百,天地交合群物皆生至此天清地爽陰陽交合再五千四百
岁正当寅会生人生兽生禽正谓天地人三才定位故曰,歲正當寅會生人生獸生禽正謂天地人三才定位故曰
人生于寅,人生於寅
感盘古开辟三皇治世五帝定伦世界之间遂分为四大部,感盤古開闢三皇治世五帝定倫世界之間遂分為四大部
洲曰东胜神洲曰西牛贺洲曰南贍部洲曰北俱芦洲这部书,洲曰東勝神洲曰西牛賀洲曰南贍部洲曰北俱蘆洲這部書
单表东胜神洲海外有一国土名曰傲来国国近大海海中,單表東勝神洲海外有一國土名曰傲來國國近大海海中
有一座名山唤为花果山此山乃十洲之祖脉三岛之来龙,有一座名山喚為花果山此山乃十洲之祖脈三島之來龍
自开清浊而立鸿蒙判后而成真个好山有词賦为证赋,自開清濁而立鴻濛判後而成真個好山有詞賦為證賦
曰,曰
势镇汪洋威宁瑶海势镇汪洋潮涌银山鱼入穴威,勢鎮汪洋威寧瑤海勢鎮汪洋潮湧銀山魚入穴威
宁瑶海波翻雪浪蜃离渊水火方隅高积土东海之处耸崇,寧瑤海波翻雪浪蜃離淵水火方隅高積上東海之處聳崇
巅丹崖怪石削壁奇峰丹崖上彩凤双鸣削壁前麒麟,巔丹崖怪石削壁奇峰丹崖上彩鳳雙鳴削壁前麒麟
独卧峰头时听锦鸡鸣石窟每观龙出入林中有寿鹿仙,獨臥峰頭時聽錦雞鳴石窟每觀龍出入林中有壽鹿仙
狐树上有灵禽玄鹤瑶草奇花不谢青松翠柏长春仙桃,狐樹上有靈禽玄鶴瑤草奇花不謝青松翠柏長春仙桃
常结果修竹每留云一条涧壑藤萝密四面原堤草色新,常結果修竹每留雲一條澗壑籐蘿密四面原堤草色新
正是百川会处擎天柱万劫无移大地根,正是百川會處擎天柱萬劫無移大地根
那座山正当顶上有一块仙石其石有三丈六尺五寸高有二丈,那座山正當頂上有一塊仙石其石有三丈六尺五寸高有二丈
四尺围圆三丈六尺五寸高按周天三百六十五度二丈四尺围,四尺圍圓三丈六尺五寸高按周天三百六十五度二丈四尺圍
圆按政历二十四气上有九窍八孔按九宫八卦四面更无树,圓按政曆二十四氣上有九竅八孔按九宮八卦四面更無樹
木遮阴左右倒有芝兰相衬盖自开辟以来每受天真地秀日,木遮陰左右倒有芝蘭相襯蓋自開闢以來每受天真地秀日
精月华感之既久遂有灵通之意内育仙胞一日迸裂产一石,精月華感之既久遂有靈通之意內育仙胞一日迸裂產一石
卵似圆球样大因见风化作一个石猴五官俱备四肢皆全,卵似圓毬樣大因見風化作一個石猴五官俱備四肢皆全
便就学爬学走拜了四方目运两道金光射冲斗府惊动高天,便就學爬學走拜了四方目運兩道金光射沖斗府驚動高天
上圣大慈仁者玉皇大天尊玄穹高上帝驾座金阙云宫灵霄宝殿,上聖大慈仁者玉皇大天尊玄穹高上帝駕座金闕雲宮靈霄寶殿
聚集仙卿见有金光焰焰即命千里眼顺风耳开南天门观看,聚集仙卿見有金光燄燄即命千里眼順風耳開南天門觀看
二将果奉旨出门外看的真听的明须臾回报道“臣奉旨观听,二將果奉旨出門外看的真聽的明須臾回報道臣奉旨觀聽
金光之处乃东胜神洲海东傲来小国之界有一座花果山山上,金光之處乃東勝神洲海東傲來小國之界有一座花果山山上
有一仙石石产一卵见风化一石猴在那里拜四方眼运金光,有一仙石石產一卵見風化一石猴在那裏拜四方眼運金光
射冲斗府如今服饵水食金光将潜息矣”玉帝垂賜恩慈曰,射沖斗府如今服餌水食金光將潛息矣玉帝垂賜恩慈曰
“下方之物乃天地精华所生不足为异”,下方之物乃天地精華所生不足為異那
那猴在山中却会行走跳跃食草木饮涧泉采山花觅树,猴在山中卻會行走跳躍食草木飲澗泉採山花覓樹
果与狼虫为伴虎豹为群獐鹿为友猕猿为亲夜宿石崖之下,果與狼蟲為伴虎豹為群獐鹿為友獼猿為親夜宿石崖之下
朝游峰洞之中真是“山中无甲子寒尽不知年”一朝天气炎,朝遊峰洞之中真是山中無甲子寒盡不知年一朝天氣炎
热与群猴避暑都在松阴之下顽要你看他一个个,熱與群猴避暑都在松陰之下頑耍你看他一個個
跳树攀枝采花觅果抛弹子邸么儿四跑沙窝砌宝,跳樹攀枝採花覓果拋彈子麼兒跑沙窩砌寶
塔赶蜻蜓扑虮蜡参老天拜菩萨扯葛藤编草帓捉虱,塔趕蜻蜓撲蜡參老天拜菩薩扯葛籐編草捉虱
子咬又掐理毛衣剔指甲挨的挨擦的擦推的推压,子咬又掐理毛衣剔指甲挨的挨擦的擦推的推壓
的压扯的扯拉的拉青松林下任他顽绿水涧边随洗,的壓扯的扯拉的拉青松林下任他頑綠水澗邊隨洗
濯,濯
一,一
群猴子耍了一会却去那山涧中洗澡见那股涧水奔流真个,群猴子耍了一會卻去那山澗中洗澡見那股澗水奔流真個
似滚瓜涌溅古云“禽有禽言兽有曽语”众猴都道“这股水,似滾瓜湧濺古云禽有禽言獸有獸語眾猴都道這股水
不知是那里的水我们今日赶闲无事顺涧边往上溜头寻看源,不知是那裏的水我們今日趕閑無事順澗邊往上溜頭尋看源
流耍子去耶”喊一声都拖男挈女唤弟呼兄一齐跑来顺涧,流耍子去耶喊一聲都拖男挈女呼弟呼兄一齊跑來順澗
爬山直至源流之处乃是一股瀑布飞泉但见那,爬山直至源流之處乃是一股瀑布飛泉但見那
一派白虹起千寻雪浪飞,一派白虹起千尋雪浪飛
海风吹不断江月照还依,海風吹不斷江月照還依
冷气分青嶂馀流润翠微,冷氣分青嶂餘流潤翠微
潺湲名瀑布真似挂帘帷,潺湲名瀑布真似掛簾帷
众猴拍手称扬道“好水一好水一原来此处远通山脚之下直接,眾猴拍手稱揚道好水好水原來此處遠通山腳之下直接
大海之波”又道“那一个有本事的钻进去寻个源头出来不伤,大海之波又道那一個有本事的鑽進去尋個源頭出來不傷
身体者我等即拜他为王”连呼了三声忽见丛杂中跳出一个石,身體者我等即拜他為王連呼了三聲忽見叢雜中跳出一個石
猴应声高叫道“我进去我进去”好猴丨也是他,猴應聲高叫道我進去我進去好猴也是他
今日芳名显时来大运通有缘居此地天遺入仙,今日芳名顯時來大運通有緣居此地王遣入仙
你看他瞑目蹲身将身一纵径跳入瀑布泉中忽睁睛抬头,宮你看他瞑目蹲身將身一縱徑跳入瀑布泉中忽睜睛抬頭
观看那里边却无水无波明明朗朗的一架桥梁他住了身定,觀看那裏邊卻無水無波明明朗朗的一架橋梁他住了身定
了神仔细再看原来是座铁板桥桥下之水冲贯于石窍之间,了神仔細再看原來是座鐵板橋橋下之水沖貫於石竅之間
倒挂流出去遮闭了桥门却又欠身上桥头再走再看却似有,倒掛流出去遮閉了橋門卻又欠身上橋頭再走再看卻似有
人家住处一般真个好所在但见那,人家住處一般真個好所在但見那
翠藓堆蓝白云浮玉光摇片片烟霞虚窗静室滑凳,翠蘚堆藍白雲浮玉光搖片片煙霞虛窗靜室滑凳
板生花乳窟龙珠倚挂萦回满地奇葩锅灶傍崖存火迹,板生花乳窟龍珠倚掛縈迴滿地奇葩鍋灶傍崖存火跡
樽罍靠案见肴渣石座石床真可爱石盆石碗更堪夸又,樽罍靠案見殽渣石座石床真可愛石盆石碗更堪誇又
见那一竿两竿修竹三点五点梅花几树青松常带雨浑然,見那一竿兩竿修竹三點五點梅花幾樹青松常帶雨渾然
像个人家,像個人家
看罢多时跳过桥中间左右观看只见正当中有一石碣,看罷多時跳過橋中間左右觀看只見正當中有一石碣
碣上有一行楷书大字镌着“花果山福地水帘洞洞天”石猿喜,碣上有一行楷書大字鐫著花果山福地水簾洞洞天石猿喜
不自胜急抽身往外便走复瞑目蹲身跳出水外打了两个呵呵,不自勝急抽身往外便走復瞑目蹲身跳出水外打了兩個呵呵
道“大造化大造化”众猴把他围住问道“里面怎么样水,道大造化大造化眾猴把他圍住問道裏面怎麼樣水
有多深”石猴道“没水没水原来是一座铁板桥桥那边是,有多深石猴道沒水沒水原來是一座鐵板橋橋那邊是
一座天造地设的家当”众猴道“怎见得是个家当”石猴笑道,一座天造地設的家當眾猴道怎見得是個家當石猴笑道
这股水乃是桥下冲贯石窍倒挂下来遮闭门户的桥边有花有,這股水乃是橋下沖貫石橋倒掛下來遮閉門戶的橋邊有花有
树乃是一座石房房内有石锅石灶石碗石盆石床石凳,樹乃是一座石房房內有石窩石灶石碗石盆石床石凳
中间一块石碣上镌着‘花果山福地水帘洞洞天’真个是我们,中間一塊石碣上鐫著花果山福地水簾洞洞天真個是我們
安身之处里面且是宽阔容得千百口老小我们都进去住也,安身之處裏面且是寬闊容得千百口老小我們都進去住也
省得受老天之气这里边,省得受老天之氣這裏邊
刮风有处躲下雨好存身,刮風有處躲下雨好存身
霜雪全无惧雷声永不闻,霜雪全無懼雷聲永不聞
烟霞常照耀祥瑞每蒸熏,煙霞常照耀祥瑞每蒸熏
松竹年年秀奇花日日新”,松竹年年秀奇花日日新眾
众猴听得个个欢喜都道“你还先走带我们进去进,猴聽得個個歡喜都道你還先走帶我們進去進
去”石猴却又瞑目蹲身往里一跳叫道“都随我进来进来”,去石猴卻又瞑目蹲身往裏一跳叫道都隨我進來進來那
那些猴有胆大的都跳进去了胆小的一个个伸头缩颈抓耳挠,些猴有膽大的都跳進去了膽小的一個個伸頭縮頸抓耳撓
腮大声叫喊缠一会也都进去了跳过桥头一个个抢盆夺,腮大聲叫喊纏一會也都進去了跳過橋頭一個個搶盆奪
碗占灶争床搬过来移过去正是猴性顽劣再无一个宁时只,碗佔灶爭床搬過來移過去正是猴性頑劣再無一個寧時只
搬得力倦神疲方止石猿端坐上面道“列位呵‘人而无信不,搬得力倦神疲方止石猿端坐上面道列位呵人而無信不
知其可’你们才说有本事进得来出得去不伤身体者就拜他,知其可你們才說有本事進得來出得去不傷身體者就拜他
为王我如今进来又出去出去又进来寻了这一个洞天与列位,為王我如今進來又出去出去又進來尋了這一個洞天與列位
安眠稳睡各享成家之福何不拜我为王众猴听说即拱伏无,安眠穩睡各享成家之福何不拜我為王眾猴聽說即拱伏無
违一个个序齿排班朝上礼拜都称“千岁大王”自此,違一個個序齒排班朝上禮拜都稱千歲大王自此
石猿高登王位将“石”字儿隐了遂称美猴王有诗为证诗,石猿高登王位將石字兒隱了遂稱美猴王有詩為證詩
曰,曰
三阳交泰产群生仙石胞含日月精,三陽交泰產群生仙石胞含日月精
借卵化猴完大道假他名姓配丹成,借卵化猴完大道假他名姓配丹成
内观不识因无相外合明知作有形,內觀不識因無相外合明知作有形
历代人人皆属此称王称圣任纵横,歷代人人皆屬此稱王稱聖任縱橫
美猴王领一群猿猴猕猴马猴等分派了君臣佐使朝游花果,美猴王領一群猿猴獼猴馬猴等分派了君臣佐使朝遊花果
山暮宿水帘洞合契同情不入飞鸟之丛不从走兽之类独自,山暮宿水簾洞合契同情不入飛鳥之叢不從走獸之類獨自
为王不胜欢乐是以,為王不勝歡樂是以
春采百花为饮食夏寻诸果作生涯,春採百花為飲食夏尋諸果作生涯
秋收芋栗延时节冬觅黄精度岁华,秋收芋栗延時節冬覓黃精度歲華
美猴王享乐天真何期有三五百载一日与群猴喜宴之,美猴王享樂天真何期有三五百載一日與群猴喜宴之
间忽然忧恼堕下泪来众猴慌忙罗拜道“大王何为烦恼”猴,間忽然憂惱墮下淚來眾猴慌忙羅拜道大王何為煩惱猴
王道“我虽在欢喜之时却有一点儿远虑故此烦恼”众猴又笑,王道我雖在歡喜之時卻有一點兒遠慮故此煩惱眾猴又笑
道“大王好不知足我等日日欢会在仙山福地古洞神洲不,道大王好不知足我等日日歡會在仙山福地古洞神洲不
伏麒麟辖不伏凤凰管又不伏人间王位所拘束自由自在乃无,伏麒麟轄不伏鳳凰管又不伏人間王位所拘束自由自在乃無
量之福为何远虑而忧也實猴王道“今日虽不归人王法律不惧,量之福為何遠慮而憂也猴王道今日雖不歸人王法律不懼
禽兽威严将来年老血衰暗中有阎王老子管着一旦身亡可不,禽獸威嚴將來年老血衰暗中有閻王老子管著一旦身亡可不
枉生世界之中不得久注天人之内众猴闻此言一个个掩面悲,枉生世界之中不得久注天人之內眾猴聞此言一個個掩面悲
啼俱以无常为虑,啼俱以無常為慮
只见那班部中忽跳出一个通背猿猴厉声高叫道“大王若,只見那班部中忽跳出一個通背猿猴厲聲高叫道大王若
是这般远虑真所谓道心开发也如今五虫之内惟有三等,是這般遠慮真所謂道心開發也如今五蟲之內惟有三等
名色不伏阎王老子所管”猴王道“你知那三等人”猿猴道,名色不伏閻王老子所管猴王道你知那三等人猿猴道
“乃是佛与仙与神圣三者躲过轮回四不生不灭与天地山川齐,乃是佛與仙與神聖三者躲過輪迴不生不滅與天地山川齊
寿”猴王道“此三者居于何所”猿猴道“他只在阎浮世界,壽猴王道此三者居於何所猿猴道他只在閻浮世界
之中古洞仙山之內”猴王闻之满心欢喜道“我明日就辞汝,之中古洞仙山之內猴王聞之滿心歡喜道我明日就辭汝
等下山云游海角远涉天涯务必访此三者学一个不老长生,等下山雲遊海角遠涉天涯務必訪此三者學一個不老長生
常躲过阎君之难”噫丨这句话顿教跳出轮回网致使齐天大圣,常躲過閻君之難噫這句話頓教跳出輪迴網致使齊天大聖
成众猴鼓掌称扬都道“善哉善哉我等明日越岭登山广,成眾猴鼓掌稱揚都道善哉善哉我等明日越嶺登山廣
寻些果品大设筵宴送大王也”,尋些果品大設筵宴送大王也次
次日众猴果去采仙桃摘异果刨山药刷黄精芝兰香蕙,日眾猴果去採仙桃摘異果刨山藥斸黃精芝蘭香蕙
瑶草奇花般般件件整整齐齐摆开石凳石桌排列仙酒仙肴,瑤草奇花般般件件整整齊齊擺開石凳石桌排列仙酒仙殽
但见那,但見那
金丸珠弹红绽黄肥金丸珠弹腊樱桃色真甘美红,金丸珠彈紅綻黃肥金丸珠彈臘櫻桃色真甘美紅
绽黄肥熟梅子味果香酸鲜龙眼肉甜皮薄火荔枝核小,綻黃肥熟梅子味果香酸鮮龍眼肉甜皮薄火荔枝核小
囊红林檎碧实连枝献枇杷缃苞带叶擎兔头梨子鸡心,囊紅林檎碧實連枝獻枇杷緗苞帶葉擎兔頭梨子雞心
枣消渴除烦更解酲香桃烂杏美甘甘似玉液琼浆脆李,棗消渴除煩更解酲香桃爛杏美甘甘似玉液瓊漿脆李
杨梅酸荫荫如脂酥膏酪红囊黑子熟西瓜四瓣黄皮大柿,楊梅酸蔭蔭如脂酥膏酪紅囊黑子熟西瓜四瓣黃皮大柿
子石榴裂破丹砂粒现火晶珠芋栗剖开坚硬肉团金玛,子石榴裂破丹砂粒現火晶珠芋栗剖開堅硬肉團金瑪
瑙胡桃银杏可传茶椰子葡萄能做酒榛松榧柰满盘盛,瑙胡桃銀杏可傳茶椰子葡萄能做酒榛松榧柰滿盤盛
橘蔗柑橙盈案摆熟煨山药烂煮黄精捣碎茯苓并薏苡,橘蔗柑橙盈案擺熟煨山藥爛煮黃精搗碎茯苓並薏苡
石锅微火漫炊羹人间纵有珍羞味怎比山猴乐更宁,石鍋微火漫炊羹人間縱有珍饈味怎比山猴樂更寧
群猴尊美猴王上坐各依齿肩排于下边一个个轮流上前奉酒,群猴尊美猴王上坐各依齒肩排於下邊一個個輪流上前奉酒
奉花奉果痛饮了一日次日美猴王早起教“小的们替我,奉花奉果痛飲了一日次日美猴王早起教小的們替我
折些枯松编作筏子取个竹竿作篙收拾些果品之类我将去,折些枯松編作子取個竹竿作篙收拾些果品之類我將去
也果独自登筏尽力撑开飘飘荡荡径向大海波中趁天风,也果獨自登儘力撐開飄飄蕩蕩徑向大海波中趁天風
来渡南贍部洲地界这一去正是那,來渡南贍部洲地界這一去正是那
天产仙猴道行隆离山驾筏趁天风,天產仙猴道行隆離山駕趁天風
飘洋过海寻仙道立志潜心建大功,飄洋過海尋仙道立志潛心建大功
有分有缘休俗愿无忧无虑会元龙,有分有緣休俗願無憂無慮會元龍
料应必遇知音者说破源流万法通,料應必遇知音者說破源流萬法通
也是他运至时来自登木筏之后连日东南风紧将他送到西北,也是他運至時來自登木之後連日東南風緊將他送到西北
岸前乃是南赡部洲地界持篙试水偶得浅水弃了筏子跳上,岸前乃是南贍部洲地界持篙試水偶得淺水棄了子跳上
岸来只见海边有人捕鱼打雁穵蛤淘盐他走近前弄个把,岸來只見海邊有人捕魚打雁穵蛤淘鹽他走近前弄個把
戏妆个娿虎四吓得那些人丢筐弃网四散奔跑将那跑不动,戲妝個虎嚇得那些人丟筐棄網四散奔跑將那跑不動
的拿住一个剥了他的衣裳也学人穿在身上摇摇摆摆穿州过,的拿住一個剝了他衣裳也學人穿在身上搖搖擺擺穿州過
府在市廛中学人礼学人话朝餐夜宿一心里访问佛仙神圣,府在市廛中學人禮學人話朝餐夜宿一心裏訪問佛仙神聖
之道觅个长生不老之方见世人都是为名为利之徒更无一个,之道覓個長生不老之方見世人都是為名為利之徒更無一個
为身命者正是那,為身命者正是那
争名夺利几时休早起迟眠不自由,爭名奪利幾時休早起遲眠不自由
骑着驴骡思骏马官居宰相望王侯,騎著驢騾思駿馬官居宰相望王侯
只愁衣食耽劳碌何怕阎君就取勾,只愁衣食耽勞碌何怕閻君就取勾
继子荫孙图富贵更无一个肯回头,繼子蔭孫圖富貴更無一個肯回頭
猴王参访仙道无缘得遇在于南赡部洲串长城游小县,猴王參訪仙道無緣得遇在於南贍部洲串長城遊小縣
不觉八九年馀忽行至西洋大海他想着海外必有神仙独自,不覺八九年餘忽行至西洋大海他想著海外必有神仙獨自
个依前作筏又飘过西海直至西牛贺洲地界登岸遍访多时,個依前作又飄過西海直至西牛賀洲地界登岸遍訪多時
忽见一座高山秀丽林麓幽深他也不怕狼虫不惧虎豹登山,忽見一座高山秀麗林麓幽深他也不怕狼蟲不懼虎豹登上
顶上观看果是好山,頂上觀看果是好山
千峰排戟万仞开屏日映岚光轻锁翠雨收黛色冷含,千峰排戟萬仞開屏日映嵐光輕鎖翠雨收黛色冷含
青瘦藤缠老树古渡界幽程奇花瑞草修竹乔松修竹,青瘦籐纏老樹古渡界幽程奇花瑞草修竹喬松修竹
乔松万载常青欺福地奇花瑞草四时不谢赛蓬瀛幽,喬松萬載常青欺福地奇花瑞草四時不謝賽蓬瀛幽
鸟啼声近源泉响溜清重重谷壑芝兰绕处处峂崖苔藓,鳥啼聲近源泉響溜清重重谷壑芝蘭繞處處巉崖苔蘚
生起伏峦头龙脉好必有高人隐姓名,生起伏巒頭龍脈好必有高人隱姓名
正观看间忽闻得林深之处有人言语急忙趋步穿入林,正觀看間忽聞得林深之處有人言語急忙趨步穿入林
中側耳而听原来是歌唱之声歌曰,中側耳而聽原來是歌唱之聲歌曰
“观棋柯烂伐木丁丁云边谷口徐行卖薪沽酒狂笑,觀棋柯爛伐木丁丁雲邊谷口徐行賣薪沽酒狂笑
自陶情苍径秋高对月枕松根一觉天明认旧林登崖,自陶情蒼逕秋高對月枕松根一覺天明認舊林登崖
过岭持斧断枯藤,過嶺持斧斷枯籐
收来成一担行歌市上易米三升,收來成一擔行歌市上易米三升
更无些子争竟时价平平不会机谋巧算没荣辱恬淡延,更無些子爭競時價平平不會機謀巧算沒榮辱恬淡延
生相逢处非仙即道静坐讲黄庭”,生相逢處非仙即道靜坐講黃庭美
美猴王听得此言满心欢喜道“神仙原来藏在这里丨”即忙跳入,猴王聽得此言滿心歡喜道神仙原來藏在這裏即忙跳入
里面仔细再看乃是一个樵子在那里举斧砍柴但看他打扮,裏面仔細再看乃是一個樵子在那裏舉斧砍柴但看他打扮
非常,非常
头上戴箬笠乃是新笋初脱之箨身上穿布衣乃是木,頭上戴箬笠乃是新筍初脫之籜身上穿布衣乃是木
绵拈就之纱腰间系环绦乃是老蚕口吐之丝足下踏草,綿撚就之紗腰間繫環絛乃是老蠶口吐之絲足下踏草
履乃是枯莎槎就之爽手执衠钢斧担挽火麻绳扳松,履乃是枯莎槎就之爽手執鋼斧擔挽火麻繩扳松
劈枯树争似此樵能丨,劈枯樹爭似此樵能猴
猴王近前叫道“老神仙弟子起手四”那樵汉慌忙丢了,王近前叫道老神仙弟子起手那樵漢慌忙丟了
斧转身答礼道“不当人不当人我拙汉衣食不全怎敢当,斧轉身答禮道不當人不當人我拙漢衣食不全怎敢當
‘神仙’二字猴王道“你不是神仙如何说出神仙的话来實樵,神仙二字猴王道你不是神仙如何說出神仙的話來樵
夫道“我说甚么神仙话猴王道“我才来至林边只听的你说,夫道我說甚麼神仙話猴王道我才來至林邊只聽的你說
相逢处非仙即道静坐讲黄庭’黄庭乃道德真言非神仙,相逢處非仙即道靜坐講黃庭黃庭乃道德真言非神仙
而何”樵夫笑道“实不瞒你说这个词名做满庭芳乃一神仙,而何樵夫笑道實不瞞你說這個詞名做滿庭芳乃一神仙
教我的那神仙与我舍下相邻他见我家事劳苦日常烦恼教,教我的那神仙與我舍下相鄰他見我家事勞苦日常煩惱教
我遇烦恼时即把这词儿念念一则散心二则解困我才有些,我遇煩惱時即把這詞兒念念一則散心二則解困我才有些
不足处思虑故此念念不期被你听了”猴王道“你家既与神,不足處思慮故此念念不期被你聽了猴王道你家既與神
仙相邻何不从他修行学得个不老之方却不是好們樵夫道,仙相鄰何不從他修行學得個不老之方卻不是好樵夫道
我一生命苦自幼蒙父母养育至八九岁才知人事不幸父丧,我一生命苦自幼蒙父母養育至八九歲才知人事不幸父喪
母亲居孀再无兄弟姊妹只我一人没奈何早晚侍奉如今,母親居孀再無兄弟姊妹只我一人沒奈何早晚侍奉如今
母老一发不敢抛离却又田园荒芜衣食不足只得斫两束柴,母老一發不敢拋離卻又田園荒蕪衣食不足只得斫兩束柴
薪挑向市廛之间货几文钱籴几升米自炊自造安排些茶饭,薪挑向市廛之間貨幾文錢糴幾升米自炊自造安排些茶飯
供养老母所以不能修行”,供養老母所以不能修行猴
猴王道“据你说起来乃是一个行孝的君子向后必有好,王道據你說起來乃是一個行孝的君子向後必有好
处但望你指与我那神仙住处却好拜访去也”樵夫道“不远,處但望你指與我那神仙住處卻好拜訪去也樵夫道不遠
不远此山叫做灵台方寸山山中有座斜月三星洞那洞,不遠此山叫做靈臺方寸山山中有座斜月三星洞那洞